location,TotalPopulation,TotalCasesCount,TotalInfectionPercentage,TotalDeathCount,TotalDeathPercentage,StringencyIndexMax,FullyVaccinatedPopulaton,median_age,gdp_per_capita,human_development_index,extreme_poverty,DeathLikelyhood
Afghanistan,38928341,141489,363,6213,16,"84,26",219159,"18,6","1803,987","0,51",NULL,4.391
Albania,2877800,132697,4.611,2456,85,"89,81",466905,38,"11803,431","0,80","1,1",1.851
Algeria,43851043,154486,352,3956,9,"92,13",NULL,"29,1","13913,839","0,75","0,5",2.561
Andorra,77265,14359,18.584,127,164,"65,74",27010,NULL,NULL,"0,87",NULL,884
Angola,32866268,40906,124,969,3,"90,74",634164,"16,8","5819,495","0,58",NULL,2.369
Antigua and Barbuda,97928,1275,1.302,42,43,NULL,28808,"32,1","21490,943","0,78",NULL,3.294
Argentina,45195777,4769142,10.552,101955,226,100,5400397,"31,9","18933,907","0,85","0,6",2.138
Armenia,2963234,227522,7.678,4569,154,NULL,36520,"35,7","8787,58","0,78","1,8",2.008
Australia,25499881,32120,126,915,4,"78,24",2828259,"37,9","44648,71","0,94","0,5",2.849
Austria,9006400,653998,7.261,10729,119,"82,41",4085306,"44,4","45436,686","0,92","0,7",1.641
Azerbaijan,10139175,338586,3.339,4994,49,"96,3",1776839,"32,4","15847,419","0,76",NULL,1.475
Bahamas,393248,13566,3.450,273,69,"96,3",39366,"34,3","27717,847","0,81",NULL,2.012
Bahrain,1701583,267949,15.747,1380,81,"78,7",1034354,"32,4","43290,705","0,85",NULL,515
Bangladesh,164689383,1117310,678,18125,11,"93,52",4284959,"27,5","3523,984","0,63","14,8",1.622
Barbados,287371,4269,1.486,48,17,"88,89",73427,"39,8","16978,068","0,81",NULL,1.124
Belarus,9449321,435020,4.604,3334,35,"43,52",372099,"40,3","17167,967","0,82",NULL,766
Belgium,11589616,1107208,9.553,25213,218,"81,48",5614934,"41,8","42658,576","0,93","0,2",2.277
Belize,397621,13772,3.464,332,83,"85,19",43153,25,"7824,362","0,72",NULL,2.411
Benin,12123198,8244,68,107,1,"70,83",12293,"18,8","2064,236","0,55","49,6",1.298
Bhutan,771612,2427,315,2,0,"81,94",1563,"28,6","8708,597","0,65","1,5",82
Bolivia,11673029,463125,3.967,17475,150,"96,3",796290,"25,4","6885,829","0,72","7,1",3.773
Bosnia and Herzegovina,3280815,205313,6.258,9669,295,"92,59",163789,"42,5","11713,895","0,78","0,2",4.709
Botswana,2351625,91902,3.908,1328,56,"86,11",111164,"25,8","15807,374","0,74",NULL,1.445
Brazil,212559409,19391845,9.123,542756,255,"81,02",34514945,"33,5","14103,452","0,77","3,4",2.799
Brunei,437483,283,65,3,1,"58,33",19195,"32,4","71809,251","0,84",NULL,1.060
Bulgaria,6948445,423078,6.089,18177,262,"73,15",877158,"44,7","18563,307","0,82","1,5",4.296
Burkina Faso,20903278,13536,65,169,1,"89,81",3481,"17,6","1703,102","0,45","43,7",1.249
Burundi,11890781,5894,50,8,0,"27,31",NULL,"17,5","702,225","0,43","71,7",136
Cambodia,16718971,67971,407,1128,7,"73,15",4131057,"25,6","3645,07","0,59",NULL,1.660
Cameroon,26545864,81467,307,1330,5,"71,3",48658,"18,8","3364,926","0,56","23,8",1.633
Canada,37742157,1431378,3.793,26466,70,"75,46",19137995,"41,4","44017,591","0,93","0,5",1.849
Cape Verde,555988,33317,5.992,295,53,"87,96",15286,"25,7","6222,554","0,67",NULL,885
Central African Republic,4829764,7142,148,98,2,"75,93",NULL,"18,3","661,24","0,40",NULL,1.372
Chad,16425859,4964,30,174,1,"88,89",5975,"16,7","1768,153","0,40","38,4",3.505
Chile,19116209,1600883,8.374,34539,181,"87,5",11731291,"35,4","22767,037","0,85","1,3",2.157
China,1439323774,92397,6,4636,0,"81,94",223299000,"38,7","15308,712","0,76","0,7",5.017
Colombia,50882884,4655921,9.150,116753,229,"90,74",10340378,"32,2","13254,949","0,77","4,5",2.508
Comoros,869595,4011,461,147,17,NULL,41220,"20,4","1413,89","0,55","18,1",3.665
Congo,5518092,12998,236,174,3,"97,22",NULL,19,"4881,406","0,57",37,1.339
Costa Rica,5094114,392781,7.710,4906,96,"81,48",830343,"33,6","15524,995","0,81","1,3",1.249
Cote d'Ivoire,26378275,49219,187,322,1,"80,56",NULL,"18,7","3601,006","0,54","28,2",654
Croatia,4105268,361613,8.809,8240,201,"96,3",1337178,44,"22669,797","0,85","0,7",2.279
Cuba,11326616,288392,2.546,1966,17,100,2109050,"43,1",NULL,"0,78",NULL,682
Cyprus,888005,92252,10.389,390,44,"94,44",428937,"37,3","32415,132","0,89",NULL,423
Czechia,10708982,1671145,15.605,30338,283,"82,41",4303407,"43,3","32605,906","0,90",NULL,1.815
Democratic Republic of Congo,89561404,46356,52,1018,1,"80,56",2513,17,"808,133","0,48","77,1",2.196
Denmark,5792203,307958,5.317,2543,44,"72,22",2709390,"42,3","46682,515","0,94","0,2",826
Djibouti,988002,11627,1.177,155,16,"94,44",8810,"25,4","2705,406","0,52","22,5",1.333
